report_date,cert,institution,total_deposits,interest_bearing_cash,noninterest_cash
2023-12-31,22263.0,AMERICAN STATE BANK OF GRYGLA,68958.0,2231.0,9699.0
2023-12-31,12511.0,ALLIANCE BANK,186416.0,2844.0,4005.0
2023-12-31,1753.0,UNION BANK & TRUST COMPANY,249514.0,3586.0,3188.0
2023-12-31,8162.0,STATE SAVINGS BANK,315342.0,1151.0,15592.0
2023-12-31,10576.0,FIRST SOUTHEAST BANK,108268.0,3304.0,2473.0
2023-12-31,2452.0,WEST UNION BANK,229967.0,3766.0,8013.0
2023-12-31,5162.0,"FIRST NATIONAL BANK OF HENNING, THE",276901.0,4313.0,504.0
2023-12-31,6976.0,DIME COMMUNITY BANK,10562589.0,74448.0,379918.0
2023-12-31,90.0,COMMERCIAL BANK & TRUST COMPANY,229273.0,1341.0,8077.0
2023-12-31,5357.0,FIRST NATIONAL COMMUNITY BANK,280522.0,1455.0,23137.0
2023-12-31,15995.0,PCSB BANK,1652453.0,14783.0,29381.0
2023-12-31,32307.0,"GALION BUILDING AND LOAN BANK, THE",61772.0,546.0,1446.0
2023-12-31,10178.0,PRODUCE STATE BANK,102595.0,1987.0,5954.0
2023-12-31,12788.0,BARABOO STATE BANK,437989.0,7012.0,59048.0
2023-12-31,20093.0,ALL AMERICA BANK,552356.0,6427.0,5695.0
2023-12-31,22536.0,FIRST SECURE BANK AND TRUST CO.,323596.0,4254.0,34435.0
2023-12-31,3405.0,VANTAGE BANK TEXAS,3152339.0,37742.0,241758.0
2023-12-31,29294.0,PREVAIL BANK,719331.0,15858.0,5747.0
2023-12-31,10663.0,"ANDOVER BANK, THE",528324.0,7438.0,21760.0
2023-12-31,1527.0,DIAMOND BANK,736716.0,9704.0,7213.0
2023-12-31,28710.0,NORTHFIELD BANK,3933394.0,13889.0,215617.0
2023-12-31,11415.0,HARVEST BANK,209196.0,3415.0,14169.0
2023-12-31,29293.0,"CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK",218839.0,2481.0,1409.0
2023-12-31,1475.0,PEOPLES BANK & TRUST COMPANY,122205.0,3815.0,1317.0
2023-12-31,31711.0,RIVERBANK,90536.0,1715.0,3243.0
2023-12-31,12204.0,"CITIZENS BANK OF PHILADELPHIA, THE",1170311.0,14553.0,82003.0
2023-12-31,30303.0,MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,1366361.0,6775.0,43584.0
2023-12-31,26658.0,AMISTAD BANK,37490.0,851.0,2019.0
2023-12-31,14240.0,NORTHWAY BANK,1001876.0,13499.0,55437.0
2023-12-31,8193.0,LAKE COMMUNITY BANK,114811.0,678.0,6627.0
2023-12-31,5649.0,DISCOVER BANK,112624604.0,,
